,,high,neutral,low,average
QPRT,ENSG00000103485.12,34.0,80.0,8.0,0.25038524590163935
QRFP,ENSG00000188710.1,6.0,88.0,28.0,-0.07066393442622951
QRFPR,ENSG00000186867.6,3.0,99.0,20.0,-0.03809836065573769
QRICH1,ENSG00000198218.6,3.0,83.0,36.0,-0.12473770491803277
QRICH2,ENSG00000129646.9,25.0,77.0,20.0,0.111811475409836
QRSL1,ENSG00000130348.7,16.0,80.0,26.0,0.018704918032786882
QSER1,ENSG00000060749.10,18.0,85.0,19.0,0.09307377049180326
QSOX1,ENSG00000116260.12,78.0,43.0,1.0,0.5078524590163935
QSOX2,ENSG00000165661.11,8.0,92.0,22.0,-0.04072131147540982
QTRT1,ENSG00000213339.4,12.0,96.0,14.0,0.05472131147540983
QTRTD1,ENSG00000151576.6,19.0,95.0,8.0,0.09824590163934425
R3HCC1,ENSG00000104679.6,12.0,50.0,60.0,-0.16840163934426225
R3HCC1L,ENSG00000166024.9,5.0,99.0,18.0,-0.01605737704918032
R3HDM1,ENSG00000048991.12,6.0,92.0,24.0,-0.05371311475409837
R3HDM2,ENSG00000179912.15,6.0,98.0,18.0,0.010672131147540986
R3HDM4,ENSG00000198858.5,5.0,83.0,34.0,-0.11059836065573776
R3HDML,ENSG00000101074.3,37.0,80.0,5.0,0.20022950819672133
RAB10,ENSG00000084733.6,11.0,96.0,15.0,-0.011188524590163923
RAB11A,ENSG00000103769.5,2.0,97.0,23.0,-0.09420491803278688
RAB11B,ENSG00000185236.7,8.0,95.0,19.0,-0.0030000000000000144
RAB11FIP1,ENSG00000156675.11,35.0,58.0,29.0,0.3395491803278691
RAB11FIP2,ENSG00000107560.6,1.0,100.0,21.0,-0.06218852459016395
RAB11FIP3,ENSG00000090565.11,29.0,82.0,11.0,0.17595901639344258
RAB11FIP4,ENSG00000131242.11,12.0,73.0,37.0,-0.04610655737704914
RAB11FIP5,ENSG00000135631.11,10.0,102.0,10.0,0.029270491803278696
RAB12,ENSG00000206418.3,11.0,86.0,25.0,-0.00615573770491803
RAB13,ENSG00000143545.4,83.0,39.0,0.0,0.5578114754098358
RAB14,ENSG00000119396.6,5.0,97.0,20.0,-0.054598360655737706
RAB15,ENSG00000139998.10,3.0,84.0,35.0,-0.08781147540983608
RAB17,ENSG00000124839.8,8.0,92.0,22.0,-0.01476229508196721
RAB18,ENSG00000099246.12,19.0,88.0,15.0,0.06319672131147541
RAB19,ENSG00000146955.6,20.0,92.0,10.0,0.10893442622950819
RAB1A,ENSG00000138069.12,11.0,101.0,10.0,0.029016393442622957
RAB1B,ENSG00000174903.10,17.0,94.0,11.0,0.07127868852459017
RAB20,ENSG00000139832.3,17.0,70.0,35.0,0.02395901639344262
RAB21,ENSG00000080371.4,9.0,103.0,10.0,0.05111475409836069
RAB22A,ENSG00000124209.3,42.0,80.0,0.0,0.30987704918032805
RAB23,ENSG00000112210.7,18.0,94.0,10.0,0.09662295081967216
RAB24,ENSG00000169228.9,12.0,92.0,18.0,-0.0002377049180327923
RAB25,ENSG00000132698.9,85.0,37.0,0.0,0.5686639344262295
RAB26,ENSG00000167964.8,33.0,81.0,8.0,0.20265573770491796
RAB27A,ENSG00000069974.11,4.0,88.0,30.0,-0.10996721311475408
RAB27B,ENSG00000041353.5,12.0,77.0,33.0,-0.027885245901639343
RAB28,ENSG00000157869.10,7.0,83.0,32.0,-0.08122131147540985
RAB2A,ENSG00000104388.10,51.0,65.0,6.0,0.4082868852459016
RAB2B,ENSG00000129472.8,9.0,85.0,28.0,-0.022327868852459017
RAB30,ENSG00000137502.5,14.0,77.0,31.0,0.05278688524590168
RAB31,ENSG00000168461.8,14.0,81.0,27.0,-0.00745081967213114
RAB32,ENSG00000118508.4,17.0,84.0,21.0,0.0529016393442623
RAB33B,ENSG00000172007.5,5.0,95.0,22.0,-0.04718852459016395
RAB34,ENSG00000109113.13,25.0,68.0,29.0,0.1491065573770492
RAB35,ENSG00000111737.7,4.0,94.0,24.0,-0.07145901639344265
RAB36,ENSG00000100228.8,6.0,81.0,35.0,-0.09111475409836071
RAB37,ENSG00000172794.15,26.0,74.0,22.0,0.08529508196721311
RAB38,ENSG00000123892.7,10.0,79.0,33.0,-0.012262295081967224
RAB39A,ENSG00000179331.2,2.0,69.0,51.0,-0.19632786885245906
RAB3A,ENSG00000105649.4,12.0,96.0,14.0,0.0654016393442623
RAB3B,ENSG00000169213.6,9.0,85.0,28.0,-0.050803278688524606
RAB3C,ENSG00000152932.6,7.0,87.0,28.0,-0.042008196721311473
RAB3D,ENSG00000105514.3,13.0,94.0,15.0,0.04359016393442621
RAB3GAP1,ENSG00000115839.13,7.0,93.0,22.0,-0.044270491803278696
RAB3GAP2,ENSG00000118873.10,77.0,40.0,5.0,0.49182786885245894
RAB3IL1,ENSG00000167994.7,14.0,89.0,19.0,-0.011991803278688519
RAB3IP,ENSG00000127328.17,10.0,102.0,10.0,0.0795327868852459
RAB40B,ENSG00000141542.6,24.0,76.0,22.0,0.06945901639344261
RAB40C,ENSG00000197562.5,29.0,82.0,11.0,0.17595901639344258
RAB42,ENSG00000188060.6,1.0,75.0,46.0,-0.1731803278688524
RAB43,ENSG00000172780.12,16.0,98.0,8.0,0.06641803278688525
RAB44,ENSG00000255587.2,19.0,90.0,13.0,0.051918032786885226
RAB4A,ENSG00000168118.7,78.0,42.0,2.0,0.4888852459016393
RAB4B,ENSG00000167578.12,15.0,90.0,17.0,0.06699999999999999
RAB5A,ENSG00000144566.6,9.0,98.0,15.0,0.018762295081967216
RAB5B,ENSG00000111540.11,4.0,99.0,19.0,-0.03289344262295079
RAB5C,ENSG00000108774.10,15.0,71.0,36.0,-0.03827868852459015
RAB6A,ENSG00000175582.15,15.0,87.0,20.0,0.10640983606557378
RAB6B,ENSG00000154917.6,21.0,97.0,4.0,0.13018852459016392
RAB6C,ENSG00000222014.4,5.0,86.0,31.0,-0.06227049180327869
RAB7A,ENSG00000075785.8,17.0,97.0,8.0,0.0733360655737705
RAB7L1,ENSG00000117280.8,79.0,43.0,0.0,0.5376803278688524
RAB8A,ENSG00000167461.7,15.0,96.0,11.0,0.06461475409836068
RAB8B,ENSG00000166128.8,3.0,96.0,23.0,-0.0919344262295082
RABAC1,ENSG00000105404.6,11.0,93.0,18.0,0.003450819672131156
RABEP1,ENSG00000029725.12,3.0,55.0,64.0,-0.21000819672131146
RABEP2,ENSG00000177548.8,29.0,83.0,10.0,0.21614754098360658
RABEPK,ENSG00000136933.12,8.0,90.0,24.0,-0.0442950819672131
RABGAP1,ENSG00000011454.12,5.0,97.0,20.0,-0.03846721311475411
RABGAP1L,ENSG00000152061.17,80.0,39.0,3.0,0.48229508196721327
RABGEF1,ENSG00000154710.10,18.0,97.0,7.0,0.07521311475409834
RABGGTA,ENSG00000100949.10,12.0,83.0,27.0,0.02567213114754099
RABGGTB,ENSG00000137955.11,11.0,93.0,18.0,0.0012459016393442511
RABIF,ENSG00000183155.4,78.0,44.0,0.0,0.5307540983606557
RABL2A,ENSG00000144134.14,18.0,78.0,26.0,0.003647540983606565
RABL2B,ENSG00000079974.13,7.0,78.0,37.0,-0.09431147540983606
RABL3,ENSG00000144840.4,16.0,99.0,7.0,0.08049999999999999
RABL5,ENSG00000128581.11,20.0,88.0,14.0,0.06872131147540982
RABL6,ENSG00000196642.10,8.0,91.0,23.0,-0.03766393442622951
RAC1,ENSG00000136238.13,21.0,91.0,10.0,0.072344262295082
RAC2,ENSG00000128340.10,9.0,78.0,35.0,-0.08121311475409836
RAC3,ENSG00000169750.4,29.0,74.0,19.0,0.11447540983606551
RACGAP1,ENSG00000161800.8,5.0,98.0,19.0,-0.03495901639344263
RAD1,ENSG00000113456.14,26.0,90.0,6.0,0.14154918032786878
RAD17,ENSG00000152942.14,6.0,81.0,35.0,-0.08936885245901639
RAD18,ENSG00000070950.5,16.0,93.0,13.0,0.0901229508196722
RAD21,ENSG00000164754.8,69.0,51.0,2.0,0.6384836065573767
RAD21L1,ENSG00000244588.1,21.0,90.0,11.0,0.09863114754098366
RAD23A,ENSG00000179262.5,14.0,94.0,14.0,0.07836065573770491
RAD23B,ENSG00000119318.8,2.0,99.0,21.0,-0.05559836065573768
RAD50,ENSG00000113522.9,7.0,90.0,25.0,-0.02494262295081968
RAD51,ENSG00000051180.12,1.0,87.0,34.0,-0.1319508196721311
RAD51AP1,ENSG00000111247.10,18.0,93.0,11.0,0.1489180327868851
RAD51AP2,ENSG00000214842.5,13.0,95.0,14.0,0.032295081967213146
RAD51B,ENSG00000182185.14,4.0,82.0,36.0,-0.08650000000000001
RAD51C,ENSG00000108384.10,26.0,78.0,18.0,0.14301639344262293
RAD51D,ENSG00000185379.16,16.0,75.0,31.0,0.009680327868852466
RAD52,ENSG00000002016.12,17.0,85.0,20.0,0.11173770491803271
RAD54B,ENSG00000197275.8,60.0,59.0,3.0,0.4872704918032787
RAD54L,ENSG00000085999.7,9.0,87.0,26.0,-0.023877049180327858
RAD54L2,ENSG00000164080.8,3.0,79.0,40.0,-0.12261475409836069
RAD9A,ENSG00000172613.3,20.0,92.0,10.0,0.1279918032786885
RAD9B,ENSG00000151164.14,3.0,97.0,22.0,-0.06595901639344261
RADIL,ENSG00000157927.12,18.0,91.0,13.0,0.06027049180327865
RAE1,ENSG00000101146.8,44.0,78.0,0.0,0.31472950819672135
RAET1E,ENSG00000164520.7,17.0,81.0,24.0,0.02983606557377048
RAET1G,ENSG00000203722.3,16.0,81.0,25.0,0.019532786885245897
RAET1K,ENSG00000218358.2,16.0,81.0,25.0,0.0240327868852459
RAET1L,ENSG00000155918.3,16.0,81.0,25.0,0.0240327868852459
RAF1,ENSG00000132155.7,16.0,91.0,15.0,0.05576229508196723
RAG1,ENSG00000166349.5,21.0,88.0,13.0,0.12986065573770497
RAG2,ENSG00000175097.3,21.0,88.0,13.0,0.12986065573770497
RAI1,ENSG00000108557.13,7.0,64.0,51.0,-0.10481967213114754
RAI14,ENSG00000039560.9,27.0,89.0,6.0,0.15918852459016383
RALA,ENSG00000006451.3,25.0,89.0,8.0,0.12193442622950823
RALB,ENSG00000144118.9,5.0,98.0,19.0,-0.016573770491803277
RALBP1,ENSG00000017797.7,12.0,83.0,27.0,-0.01714754098360655
RALGAPA1,ENSG00000174373.11,10.0,83.0,29.0,-0.01667213114754098
RALGAPA2,ENSG00000188559.8,26.0,91.0,5.0,0.14321311475409834
RALGAPB,ENSG00000170471.10,34.0,84.0,4.0,0.18013114754098364
RALGDS,ENSG00000160271.10,5.0,92.0,25.0,-0.07062295081967208
RALGPS1,ENSG00000136828.14,8.0,91.0,23.0,-0.029024590163934428
RALGPS2,ENSG00000116191.12,78.0,43.0,1.0,0.4652950819672133
RALY,ENSG00000125970.7,31.0,88.0,3.0,0.17451639344262296
RALYL,ENSG00000184672.7,60.0,60.0,2.0,0.5039590163934429
RAMP1,ENSG00000132329.6,6.0,94.0,22.0,-0.02833606557377049
RAMP2,ENSG00000131477.6,14.0,71.0,37.0,-0.04747540983606557
RAMP3,ENSG00000122679.4,22.0,94.0,6.0,0.12048360655737708
RAN,ENSG00000132341.6,5.0,96.0,21.0,-0.021475409836065572
RANBP1,ENSG00000099901.12,7.0,76.0,39.0,-0.09628688524590168
RANBP10,ENSG00000141084.6,7.0,49.0,66.0,-0.23072131147540983
RANBP17,ENSG00000204764.7,11.0,93.0,18.0,0.01705737704918033
RANBP2,ENSG00000153201.11,8.0,98.0,16.0,-0.0011967213114754106
RANBP3,ENSG00000031823.10,12.0,91.0,19.0,0.014639344262295084
RANBP3L,ENSG00000164188.4,25.0,90.0,7.0,0.133311475409836
RANBP6,ENSG00000137040.8,9.0,76.0,37.0,-0.060245901639344276
RANBP9,ENSG00000010017.9,21.0,93.0,8.0,0.1267459016393443
RANGAP1,ENSG00000100401.15,5.0,79.0,38.0,-0.13397540983606557
RANGRF,ENSG00000108961.9,4.0,55.0,63.0,-0.18002459016393435
RAP1A,ENSG00000116473.10,10.0,89.0,23.0,-0.030475409836065573
RAP1B,ENSG00000127314.13,6.0,104.0,12.0,0.011131147540983615
RAP1GAP,ENSG00000076864.15,3.0,72.0,47.0,-0.16873770491803275
RAP1GAP2,ENSG00000132359.9,6.0,56.0,60.0,-0.16887704918032787
RAP1GDS1,ENSG00000138698.10,5.0,99.0,18.0,-0.02467213114754099
RAP2A,ENSG00000125249.6,14.0,69.0,39.0,-0.03952459016393442
RAP2B,ENSG00000181467.2,25.0,93.0,4.0,0.1432213114754099
RAPGEF1,ENSG00000107263.14,8.0,90.0,24.0,-0.05472131147540985
RAPGEF2,ENSG00000109756.4,5.0,94.0,23.0,-0.05936065573770491
RAPGEF3,ENSG00000079337.11,10.0,98.0,14.0,0.01810655737704917
RAPGEF4,ENSG00000091428.13,9.0,94.0,19.0,-0.005008196721311474
RAPGEF5,ENSG00000136237.14,26.0,90.0,6.0,0.14131147540983613
RAPGEF6,ENSG00000158987.15,9.0,85.0,28.0,-0.033221311475409826
RAPGEFL1,ENSG00000108352.7,26.0,67.0,29.0,0.17836885245901626
RAPH1,ENSG00000173166.13,3.0,92.0,27.0,-0.07231147540983607
RAPSN,ENSG00000165917.5,14.0,91.0,17.0,0.000393442622950826
RARA,ENSG00000131759.13,21.0,72.0,29.0,0.09895901639344262
RARB,ENSG00000077092.14,13.0,93.0,16.0,0.028729508196721314
RARG,ENSG00000172819.12,5.0,94.0,23.0,-0.05024590163934424
RARRES1,ENSG00000118849.5,25.0,93.0,4.0,0.15266393442622953
RARRES2,ENSG00000106538.5,21.0,87.0,14.0,0.09969672131147539
RARRES3,ENSG00000133321.6,11.0,90.0,21.0,-0.0166311475409836
RARS,ENSG00000113643.4,12.0,94.0,16.0,0.011803278688524588
RARS2,ENSG00000146282.13,9.0,84.0,29.0,-0.0698688524590164
RASA1,ENSG00000145715.10,8.0,87.0,27.0,-0.02974590163934427
RASA2,ENSG00000155903.7,21.0,95.0,6.0,0.10225409836065574
RASA3,ENSG00000185989.9,16.0,68.0,38.0,0.026663934426229535
RASA4,ENSG00000105808.13,23.0,83.0,16.0,0.08990163934426229
RASA4B,ENSG00000170667.9,23.0,83.0,16.0,0.08990163934426229
RASA4CP,ENSG00000228903.2,23.0,94.0,5.0,0.12281967213114758
RASAL1,ENSG00000111344.7,3.0,97.0,22.0,-0.051237704918032784
RASAL2,ENSG00000075391.12,82.0,38.0,2.0,0.5053688524590167
RASAL3,ENSG00000105122.7,15.0,96.0,11.0,0.074516393442623
RASD1,ENSG00000108551.4,7.0,65.0,50.0,-0.10129508196721312
RASD2,ENSG00000100302.6,5.0,82.0,35.0,-0.07109016393442624
RASEF,ENSG00000165105.9,7.0,91.0,24.0,-0.02815573770491803
RASGEF1A,ENSG00000198915.7,12.0,94.0,16.0,0.02615573770491804
RASGEF1B,ENSG00000138670.12,6.0,95.0,21.0,-0.02671311475409836
RASGEF1C,ENSG00000146090.11,8.0,87.0,27.0,-0.03413114754098362
RASGRF1,ENSG00000058335.11,5.0,96.0,21.0,-0.05145901639344261
RASGRF2,ENSG00000113319.7,9.0,83.0,30.0,-0.04825409836065575
RASGRP1,ENSG00000172575.7,1.0,91.0,30.0,-0.09059836065573765
RASGRP2,ENSG00000068831.14,10.0,92.0,20.0,-0.014491803278688525
RASGRP3,ENSG00000152689.13,8.0,99.0,15.0,-0.021737704918032785
RASGRP4,ENSG00000171777.11,20.0,87.0,15.0,0.08459836065573771
RASIP1,ENSG00000105538.4,8.0,98.0,16.0,-0.027680327868852463
RASL10A,ENSG00000100276.8,7.0,81.0,34.0,-0.0843360655737705
RASL10B,ENSG00000141150.3,17.0,75.0,30.0,0.02582786885245902
RASL11A,ENSG00000122035.6,11.0,77.0,34.0,-0.05847540983606558
RASL11B,ENSG00000128045.5,9.0,94.0,19.0,-0.004836065573770519
RASL12,ENSG00000103710.6,3.0,97.0,22.0,-0.09204918032786887
RASSF1,ENSG00000068028.13,3.0,82.0,37.0,-0.11709016393442623
RASSF2,ENSG00000101265.11,21.0,93.0,8.0,0.07729508196721313
RASSF3,ENSG00000153179.7,5.0,96.0,21.0,-0.018483606557377047
RASSF4,ENSG00000107551.15,12.0,92.0,18.0,0.019377049180327868
RASSF5,ENSG00000136653.14,79.0,43.0,0.0,0.5752540983606554
RASSF6,ENSG00000169435.9,17.0,90.0,15.0,0.09905737704918033
RASSF7,ENSG00000099849.10,7.0,82.0,33.0,-0.11281147540983606
RASSF8,ENSG00000123094.11,17.0,98.0,7.0,0.18386885245901635
RASSF9,ENSG00000198774.3,10.0,100.0,12.0,0.0478360655737705
RAVER1,ENSG00000161847.9,12.0,97.0,13.0,0.044713114754098345
RAVER2,ENSG00000162437.10,9.0,93.0,20.0,-0.024221311475409835
RAX,ENSG00000134438.9,12.0,73.0,37.0,-0.0638032786885246
RAX2,ENSG00000173976.11,5.0,93.0,24.0,-0.06970491803278693
RB1,ENSG00000139687.9,6.0,70.0,46.0,-0.15204918032786885
RB1CC1,ENSG00000023287.8,46.0,67.0,9.0,0.33513114754098383
RBAK,ENSG00000146587.12,18.0,92.0,12.0,0.0632213114754098
RBBP4,ENSG00000162521.14,4.0,86.0,32.0,-0.09236885245901637
RBBP5,ENSG00000117222.9,78.0,44.0,0.0,0.5342049180327868
RBBP6,ENSG00000122257.14,30.0,70.0,22.0,0.12080327868852463
RBBP8,ENSG00000101773.12,11.0,79.0,32.0,-0.04307377049180328
RBBP8NL,ENSG00000130701.3,38.0,82.0,2.0,0.23833606557377052
RBBP9,ENSG00000089050.10,23.0,93.0,6.0,0.12802459016393444
RBCK1,ENSG00000125826.15,19.0,90.0,13.0,0.05790983606557377
RBFA,ENSG00000101546.8,10.0,75.0,37.0,-0.06745901639344264
RBFADN,ENSG00000267127.1,10.0,75.0,37.0,-0.06745901639344264
RBFOX1,ENSG00000078328.15,36.0,75.0,11.0,0.17077049180327863
RBFOX2,ENSG00000100320.18,6.0,78.0,38.0,-0.07925409836065576
RBFOX3,ENSG00000167281.14,26.0,77.0,19.0,0.12295081967213115
RBKS,ENSG00000171174.9,13.0,96.0,13.0,0.00660655737704918
RBL1,ENSG00000080839.7,32.0,86.0,4.0,0.17070491803278684
RBL2,ENSG00000103479.10,14.0,55.0,53.0,-0.13940163934426236
RBM11,ENSG00000185272.9,13.0,91.0,18.0,0.058811475409836084
RBM12,ENSG00000244462.3,33.0,86.0,3.0,0.1769262295081967
RBM12B,ENSG00000183808.7,62.0,58.0,2.0,0.5053278688524591
RBM14,ENSG00000239306.3,18.0,95.0,9.0,0.0909754098360656
RBM15,ENSG00000162775.10,10.0,91.0,21.0,-0.018557377049180333
RBM15B,ENSG00000179837.6,3.0,77.0,42.0,-0.13439344262295086
RBM17,ENSG00000134453.11,31.0,82.0,9.0,0.25000000000000006
RBM18,ENSG00000119446.9,5.0,98.0,19.0,-0.0420655737704918
RBM19,ENSG00000122965.6,4.0,94.0,24.0,-0.05590983606557377
RBM20,ENSG00000203867.7,4.0,96.0,22.0,-0.04869672131147541
RBM22,ENSG00000086589.7,13.0,91.0,18.0,0.019827868852459
RBM23,ENSG00000100461.13,10.0,85.0,27.0,-0.007418032786885246
RBM24,ENSG00000112183.10,20.0,92.0,10.0,0.08750819672131148
RBM25,ENSG00000119707.9,3.0,81.0,38.0,-0.10224590163934426
RBM26,ENSG00000139746.11,10.0,71.0,41.0,-0.05770491803278687
RBM27,ENSG00000091009.6,12.0,90.0,20.0,-0.002737704918032783
RBM28,ENSG00000106344.3,20.0,89.0,13.0,0.09113934426229503
RBM33,ENSG00000184863.6,18.0,90.0,14.0,0.07505737704918033
RBM34,ENSG00000188739.10,76.0,44.0,2.0,0.4711967213114754
RBM38,ENSG00000132819.12,44.0,78.0,0.0,0.3250737704918033
RBM39,ENSG00000131051.16,33.0,85.0,4.0,0.1742950819672131
RBM4,ENSG00000173933.15,18.0,94.0,10.0,0.08360655737704922
RBM42,ENSG00000126254.7,16.0,93.0,13.0,0.07409836065573773
RBM43,ENSG00000184898.6,7.0,97.0,18.0,-0.004483606557377052
RBM44,ENSG00000177483.7,7.0,93.0,22.0,-0.025622950819672134
RBM45,ENSG00000155636.9,8.0,98.0,16.0,0.007377049180327869
RBM46,ENSG00000151962.3,5.0,97.0,20.0,-0.03358196721311476
RBM47,ENSG00000163694.10,3.0,79.0,40.0,-0.14850819672131146
RBM48,ENSG00000127993.10,28.0,86.0,8.0,0.18327868852459023
RBM4B,ENSG00000173914.7,18.0,94.0,10.0,0.07592622950819673
RBM5,ENSG00000003756.12,2.0,84.0,36.0,-0.12539344262295082
RBM6,ENSG00000004534.10,2.0,84.0,36.0,-0.12584426229508197
RBM7,ENSG00000076053.6,3.0,69.0,50.0,-0.1835655737704918
RBM8A,ENSG00000131795.7,79.0,40.0,3.0,0.5765245901639344
RBMS1,ENSG00000153250.13,12.0,95.0,15.0,0.061450819672131174
RBMS2,ENSG00000076067.7,4.0,101.0,17.0,-0.024508196721311465
RBMS3,ENSG00000144642.16,11.0,94.0,17.0,0.012713114754098361
RBMXL1,ENSG00000213516.5,10.0,92.0,20.0,-0.0219672131147541
RBMXL2,ENSG00000170748.5,9.0,86.0,27.0,-0.04980327868852459
RBP1,ENSG00000114115.5,23.0,94.0,5.0,0.13495901639344263
RBP2,ENSG00000114113.2,23.0,94.0,5.0,0.13495901639344263
RBP3,ENSG00000107618.4,14.0,89.0,19.0,0.04095901639344261
RBP4,ENSG00000138207.8,3.0,100.0,19.0,-0.050008196721311474
RBP5,ENSG00000139194.3,17.0,91.0,14.0,0.13099999999999992
RBP7,ENSG00000162444.11,4.0,74.0,44.0,-0.14957377049180332
RBPJ,ENSG00000168214.16,3.0,76.0,43.0,-0.149172131147541
RBPJL,ENSG00000124232.6,41.0,77.0,4.0,0.2435737704918033
RBPMS,ENSG00000157110.11,15.0,51.0,56.0,-0.08104098360655738
RBPMS2,ENSG00000166831.4,4.0,97.0,21.0,-0.07399999999999997
RBX1,ENSG00000100387.8,6.0,77.0,39.0,-0.13018032786885247
RC3H1,ENSG00000135870.7,78.0,41.0,3.0,0.47842622950819685
RC3H2,ENSG00000056586.11,5.0,97.0,20.0,-0.03846721311475411
RCAN1,ENSG00000159200.12,10.0,98.0,14.0,0.024499999999999997
RCAN2,ENSG00000172348.10,19.0,91.0,12.0,0.11888524590163935
RCAN3,ENSG00000117602.7,2.0,73.0,47.0,-0.17473770491803273
RCBTB1,ENSG00000136144.7,5.0,67.0,50.0,-0.16186885245901644
RCBTB2,ENSG00000136161.8,5.0,71.0,46.0,-0.14640983606557376
RCC1,ENSG00000180198.11,1.0,75.0,46.0,-0.1731803278688524
RCC2,ENSG00000179051.9,4.0,72.0,46.0,-0.1648196721311475
RCCD1,ENSG00000166965.8,12.0,91.0,19.0,-0.010721311475409837
RCE1,ENSG00000173653.3,18.0,95.0,9.0,0.08539344262295086
RCHY1,ENSG00000163743.9,10.0,93.0,19.0,-0.0059836065573770445
RCL1,ENSG00000120158.7,9.0,81.0,32.0,-0.035163934426229525
RCN1,ENSG00000049449.4,19.0,87.0,16.0,0.08259836065573774
RCN2,ENSG00000117906.9,6.0,95.0,21.0,-0.05451639344262294
RCN3,ENSG00000142552.3,14.0,92.0,16.0,0.06836885245901637
RCOR1,ENSG00000089902.8,6.0,86.0,30.0,-0.06852459016393445
RCOR2,ENSG00000167771.5,11.0,91.0,20.0,-0.01773770491803278
RCOR3,ENSG00000117625.9,78.0,44.0,0.0,0.5055655737704916
RCSD1,ENSG00000198771.6,83.0,38.0,1.0,0.5283196721311476
RCVRN,ENSG00000109047.6,3.0,53.0,66.0,-0.23388524590163928
RD3,ENSG00000198570.5,76.0,46.0,0.0,0.48360655737704916
RD3L,ENSG00000227729.2,7.0,86.0,29.0,-0.05716393442622951
RDH10,ENSG00000121039.5,56.0,61.0,5.0,0.43263114754098364
RDH11,ENSG00000072042.8,4.0,82.0,36.0,-0.08630327868852461
RDH12,ENSG00000139988.5,3.0,83.0,36.0,-0.08732786885245904
RDH13,ENSG00000160439.10,20.0,90.0,12.0,0.08583606557377053
RDH14,ENSG00000240857.1,16.0,93.0,13.0,0.0379016393442623
RDH16,ENSG00000139547.6,5.0,101.0,16.0,-0.004836065573770496
RDH5,ENSG00000135437.5,4.0,101.0,17.0,-0.02483606557377049
RDH8,ENSG00000080511.2,11.0,92.0,19.0,0.009975409836065567
RDM1,ENSG00000187456.9,16.0,76.0,30.0,0.002229508196721312
RDX,ENSG00000137710.10,3.0,68.0,51.0,-0.18536885245901644
REC8,ENSG00000100918.8,12.0,89.0,21.0,0.03963934426229506
RECK,ENSG00000122707.7,7.0,88.0,27.0,-0.033532786885245906
RECQL,ENSG00000004700.11,17.0,97.0,8.0,0.13377049180327866
RECQL4,ENSG00000160957.7,57.0,58.0,7.0,0.5142622950819669
RECQL5,ENSG00000108469.10,28.0,74.0,20.0,0.14260655737704908
REEP1,ENSG00000068615.12,13.0,98.0,11.0,0.03058196721311476
REEP2,ENSG00000132563.11,7.0,89.0,26.0,-0.04767213114754099
REEP3,ENSG00000165476.8,6.0,91.0,25.0,-0.049237704918032824
REEP4,ENSG00000168476.7,12.0,52.0,58.0,-0.1671885245901639
REEP5,ENSG00000129625.8,8.0,92.0,22.0,-0.006073770491803281
REEP6,ENSG00000115255.6,5.0,83.0,34.0,-0.11159016393442626
REG1A,ENSG00000115386.5,11.0,102.0,9.0,0.058262295081967216
REG1B,ENSG00000172023.3,11.0,102.0,9.0,0.058262295081967216
REG1P,ENSG00000204787.4,11.0,102.0,9.0,0.058262295081967216
REG3A,ENSG00000172016.11,11.0,102.0,9.0,0.058262295081967216
REG3G,ENSG00000143954.8,11.0,102.0,9.0,0.058262295081967216
REG4,ENSG00000134193.10,21.0,86.0,15.0,0.11071311475409831
REL,ENSG00000162924.8,13.0,95.0,14.0,0.019262295081967216
RELA,ENSG00000173039.14,16.0,89.0,17.0,0.04285245901639347
RELB,ENSG00000104856.9,9.0,95.0,18.0,-0.011901639344262306
RELL1,ENSG00000181826.5,2.0,86.0,34.0,-0.107
RELL2,ENSG00000164620.4,8.0,91.0,23.0,-0.0315737704918033
RELN,ENSG00000189056.9,21.0,86.0,15.0,0.10249180327868858
RELT,ENSG00000054967.8,17.0,89.0,16.0,0.1733032786885246
REM1,ENSG00000088320.3,27.0,89.0,6.0,0.14554098360655732
REM2,ENSG00000139890.5,10.0,85.0,27.0,-0.007418032786885246
REN,ENSG00000143839.12,80.0,42.0,0.0,0.5444262295081966
REP15,ENSG00000174236.2,16.0,98.0,8.0,0.13982786885245901
REPIN1,ENSG00000214022.7,21.0,87.0,14.0,0.09969672131147539
REPS1,ENSG00000135597.14,15.0,82.0,25.0,0.011565573770491801
RER1,ENSG00000157916.14,24.0,50.0,48.0,-0.06902459016393443
RERE,ENSG00000142599.13,5.0,75.0,42.0,-0.13667213114754098
RERG,ENSG00000134533.2,14.0,95.0,13.0,0.06550000000000002
RERGL,ENSG00000111404.2,14.0,96.0,12.0,0.10602459016393438
RESP18,ENSG00000182698.7,9.0,90.0,23.0,-0.029786885245901628
REST,ENSG00000084093.11,6.0,99.0,17.0,-0.01678688524590164
RET,ENSG00000165731.13,12.0,94.0,16.0,0.028614754098360652
RETN,ENSG00000104918.4,7.0,94.0,21.0,-0.04236885245901641
RETNLB,ENSG00000163515.6,12.0,103.0,7.0,0.08159016393442624
RETSAT,ENSG00000042445.9,13.0,100.0,9.0,0.03267213114754099
REV1,ENSG00000135945.5,10.0,93.0,19.0,-0.008868852459016394
REV3L,ENSG00000009413.11,16.0,78.0,28.0,-0.013508196721311474
REXO1,ENSG00000079313.7,5.0,82.0,35.0,-0.11081147540983606
REXO1L1,ENSG00000205176.2,59.0,60.0,3.0,0.4680573770491806
REXO1L10P,ENSG00000255940.1,59.0,60.0,3.0,0.4680573770491806
