,gene,chromosome
102,ABL1,['Chromosome 9']
103,ABL2,['Chromosome 1']
104,ABLIM1,['Chromosome 10']
105,ABLIM2,['Chromosome 4']
106,ABLIM3,['Chromosome 5']
107,ABO,['Unplaced']
108,ABR,['Chromosome 17']
109,ABRA,['Chromosome 4']
110,ABRACL,['Chromosome 6']
111,ABRAXAS1,['Chromosome 4']
112,ABRAXAS2,['Chromosome 10']
113,ABT1,['Chromosome 6']
114,ABTB1,['Chromosome 3']
115,ABTB2,['Chromosome 11']
116,ACAA1,['Chromosome 3']
117,ACAA2,['Chromosome 18']
118,ACACA,['Chromosome 17']
119,ACACB,['Chromosome 12']
120,ACAD10,['Chromosome 12']
121,ACAD11,['Chromosome 3']
122,ACAD8,['Chromosome 11']
123,ACAD9,['Chromosome 3']
124,ACADL,['Chromosome 2']
125,ACADM,['Chromosome 1']
126,ACADS,['Chromosome 12']
127,ACADSB,['Chromosome 10']
128,ACADVL,['Chromosome 17']
129,ACAN,['Chromosome 15']
130,ACAP1,['Chromosome 17']
131,ACAP2,['Chromosome 3']
132,ACAP3,['Chromosome 1']
133,ACAT1,['Chromosome 11']
134,ACAT2,['Chromosome 12']
135,ACBD3,['Chromosome 1']
136,ACBD4,['Chromosome 17']
137,ACBD5,['Chromosome 10']
138,ACBD6,['Chromosome 1']
139,ACBD7,['Chromosome 10']
140,ACCS,['Chromosome 11']
141,ACCSL,['Chromosome 11']
142,ACD,['Chromosome 16']
143,ACE,['Chromosome X']
144,ACE2,['Chromosome X']
145,ACER1,['Chromosome 19']
146,ACER2,['Chromosome 9']
147,ACER3,['Chromosome 11']
148,ACHE,['Chromosome 7']
149,ACIN1,['Chromosome 14']
150,ACKR1,['Chromosome 1']
151,ACKR2,['Chromosome 3']
152,ACKR3,['Chromosome 2']
153,ACKR4,['Chromosome 3']
154,ACLY,['Chromosome 17']
155,ACMSD,['Unplaced']
156,ACO1,['Chromosome 9']
157,ACO2,['Chromosome 22']
158,ACOD1,['Chromosome 13']
159,ACOT1,['Chromosome 14']
160,ACOT11,['Chromosome 1']
161,ACOT12,['Chromosome 5']
162,ACOT13,['Chromosome 6']
163,ACOT2,['Chromosome 14']
164,ACOT4,['Chromosome 14']
165,ACOT6,['Chromosome 14']
166,ACOT7,['Chromosome 1']
167,ACOT8,['Chromosome 20']
168,ACOT9,['Chromosome X']
169,ACOX1,['Chromosome 17']
170,ACOX2,['Chromosome 3']
171,ACOX3,['Chromosome 4']
172,ACOXL,['Chromosome 2']
173,ACP1,['Chromosome 2']
174,ACP2,['Chromosome 11']
175,ACP4,['Chromosome 19']
176,ACP5,['Chromosome 19']
177,ACP6,['Chromosome 1']
178,ACP7,['Chromosome 19']
179,ACPP,['Chromosome 3']
180,ACR,['Chromosome 22']
181,ACRBP,['Chromosome 12']
182,ACRV1,['Chromosome 11']
183,ACSBG1,['Chromosome 15']
184,ACSBG2,['Chromosome 19']
185,ACSF2,['Chromosome 17']
186,ACSF3,['Chromosome 16']
187,ACSL1,['Chromosome 4']
188,ACSL3,['Chromosome 2']
189,ACSL4,['Chromosome X']
190,ACSL5,['Chromosome 10']
191,ACSL6,['Chromosome 5']
192,ACSM1,['Chromosome 16']
193,ACSM2A,['Chromosome 16']
194,ACSM2B,['Chromosome 16']
195,ACSM3,['Chromosome 16']
196,ACSM4,['Chromosome 12']
197,ACSM5,['Chromosome 16']
198,ACSM6,['Chromosome 10']
199,ACSS1,['Chromosome 20']
200,ACSS2,['Chromosome 20']
201,ACSS3,['Chromosome 12']
202,ACTA1,['Chromosome 1']
203,ACTA2,['Chromosome 10']
204,ACTB,['Chromosome 7']
205,ACTBL2,['Chromosome 5']
206,ACTC1,['Chromosome 15']
207,ACTG1,['Chromosome 17']
208,ACTG2,['Chromosome 2']
209,ACTL10,['Chromosome 20']
210,ACTL6A,['Chromosome 3']
211,ACTL6B,['Chromosome 7']
212,ACTL7A,['Chromosome 9']
213,ACTL7B,['Chromosome 9']
214,ACTL8,['Chromosome 1']
215,ACTL9,['Chromosome 19']
216,ACTN1,['Chromosome 14']
217,ACTN2,['Chromosome 1']
218,ACTN3,['Chromosome 11']
219,ACTN4,['Chromosome 19']
220,ACTR10,['Chromosome 14']
221,ACTR1A,['Chromosome 10']
222,ACTR1B,['Chromosome 2']
223,ACTR2,['Chromosome 2']
224,ACTR3,['Chromosome 2']
225,ACTR3B,['Chromosome 7']
226,ACTR3C,['Chromosome 7']
227,ACTR5,['Chromosome 20']
228,ACTR6,['Chromosome 12']
229,ACTR8,['Chromosome 3']
230,ACTRT1,['Chromosome X']
231,ACTRT2,['Chromosome 1']
232,ACTRT3,['Chromosome 3']
233,ACVR1,['Chromosome 2']
234,ACVR1B,['Chromosome 12']
235,ACVR1C,['Chromosome 2']
236,ACVR2A,['Chromosome 2']
237,ACVR2B,['Chromosome 3']
238,ACVRL1,['Chromosome 12']
239,ACY1,['Chromosome 3']
240,ACY3,['Chromosome 11']
241,ACYP1,['Chromosome 14']
242,ACYP2,['Chromosome 2']
243,ADA,['Chromosome 3']
244,ADA2,['Chromosome 22']
245,ADAD1,['Chromosome 4']
246,ADAD2,['Chromosome 16']
247,ADAL,['Chromosome 15']
248,ADAM10,['Chromosome 15']
249,ADAM11,['Chromosome 17']
250,ADAM12,['Chromosome 10']
251,ADAM15,['Chromosome 1']
252,ADAM17,['Chromosome 2']
253,ADAM18,['Chromosome 8']
254,ADAM19,['Chromosome 5']
255,ADAM2,['Chromosome 8']
256,ADAM20,['Chromosome 14']
257,ADAM21,['Chromosome 14']
258,ADAM22,['Chromosome 7']
259,ADAM23,['Chromosome 2']
260,ADAM28,['Chromosome 8']
261,ADAM29,['Chromosome 4']
262,ADAM30,['Chromosome 1']
263,ADAM32,['Chromosome 8']
264,ADAM33,['Chromosome 20']
265,ADAM5,['Unplaced']
266,ADAM7,['Chromosome 8']
267,ADAM8,['Chromosome 10']
268,ADAM9,['Chromosome 8']
269,ADAMDEC1,['Chromosome 8']
270,ADAMTS1,['Chromosome 21']
271,ADAMTS10,['Chromosome 19']
272,ADAMTS12,['Chromosome 5']
273,ADAMTS13,['Chromosome 9']
274,ADAMTS14,['Chromosome 10']
275,ADAMTS15,['Chromosome 11']
276,ADAMTS16,['Chromosome 5']
277,ADAMTS17,['Chromosome 15']
278,ADAMTS18,['Chromosome 16']
279,ADAMTS19,['Unplaced']
280,ADAMTS2,['Chromosome 5']
281,ADAMTS20,['Chromosome 12']
282,ADAMTS3,['Chromosome 4']
283,ADAMTS4,['Chromosome 1']
284,ADAMTS5,['Chromosome 21']
285,ADAMTS6,['Chromosome 5']
286,ADAMTS7,['Chromosome 15']
287,ADAMTS8,['Chromosome 11']
288,ADAMTS9,['Chromosome 3']
289,ADAMTSL1,['Chromosome 9']
290,ADAMTSL2,['Chromosome 9']
291,ADAMTSL3,['Chromosome 15']
292,ADAMTSL4,['Chromosome 1']
293,ADAMTSL4-AS1,['Unplaced']
294,ADAMTSL5,['Unplaced']
295,ADAP1,['Chromosome 7']
296,ADAP2,['Chromosome 17']
297,ADAR,['Chromosome 1']
298,ADARB1,['Chromosome 21']
299,ADARB2,['Chromosome 10']
300,ADARB2-AS1,['Unplaced']
301,ADAT1,['Chromosome 16']
302,ADAT2,['Chromosome 6']
303,ADAT3,['Unplaced']
304,ADCK1,['Chromosome 14']
305,ADCK2,['Chromosome 7']
306,ADCK5,['Chromosome 8']
307,ADCY1,['Chromosome 7']
308,ADCY10,['Chromosome 1']
309,ADCY2,['Chromosome 5']
310,ADCY3,['Chromosome 2']
311,ADCY4,['Chromosome 14']
312,ADCY5,['Chromosome 3']
313,ADCY6,['Chromosome 12']
314,ADCY7,['Chromosome 16']
315,ADCY8,['Chromosome 8']
316,ADCY9,['Chromosome 16']
317,ADCYAP1,['Chromosome 18']
318,ADCYAP1R1,['Chromosome 7']
319,ADD1,['Chromosome 4']
320,ADD2,['Chromosome 2']
321,ADD3,['Chromosome 10']
322,ADGB,['Chromosome 6']
323,ADGRA1,['Chromosome 10']
324,ADGRA2,['Chromosome 8']
325,ADGRA3,['Chromosome 4']
326,ADGRB1,['Chromosome 8']
327,ADGRB2,['Chromosome 1']
328,ADGRB3,['Chromosome 6']
329,ADGRD1,['Chromosome 12']
330,ADGRE1,['Chromosome 19']
331,ADGRE2,['Chromosome 19']
332,ADGRE3,['Chromosome 19']
333,ADGRE4P,['Unplaced']
334,ADGRE5,['Chromosome 19']
335,ADGRF1,['Chromosome 6']
336,ADGRF2,['Chromosome 6']
337,ADGRF3,['Chromosome 2']
338,ADGRF4,['Chromosome 6']
339,ADGRF5,['Chromosome 6']
340,ADGRG1,['Chromosome 16']
341,ADGRG2,['Chromosome X']
342,ADGRG3,['Chromosome 16']
343,ADGRG4,['Chromosome X']
344,ADGRG5,['Chromosome 16']
345,ADGRG6,['Chromosome 6']
346,ADGRG7,['Chromosome 3']
347,ADGRL1,['Chromosome 19']
348,ADGRL2,['Chromosome 1']
349,ADGRL3,['Chromosome 4']
350,ADGRL4,['Chromosome 1']
351,ADGRV1,['Chromosome 5']
352,ADH1A,['Chromosome 4']
353,ADH1B,['Chromosome 4']
354,ADH1C,['Chromosome 4']
355,ADH4,['Chromosome 4']
356,ADH5,['Chromosome 4']
357,ADH6,['Chromosome 4']
358,ADH7,['Chromosome 4']
359,ADHFE1,['Chromosome 8']
360,ADI1,['Chromosome 2']
361,ADIG,['Chromosome 20']
362,ADIPOQ,['Chromosome 1']
363,ADIPOR1,['Chromosome 1']
364,ADIPOR2,['Chromosome 12']
365,ADIRF,['Chromosome 10']
366,ADK,['Chromosome 10']
367,ADM,['Chromosome 22']
368,ADM2,['Chromosome 22']
369,ADM5,['Chromosome 19']
370,ADNP,['Chromosome 20']
371,ADNP2,['Chromosome 18']
372,ADO,['Chromosome 10']
373,ADORA1,['Chromosome 1']
374,ADORA2A,['Chromosome 22']
375,ADORA2A-AS1,['Unplaced']
376,ADORA2B,['Chromosome 17']
377,ADORA3,['Chromosome 1']
378,ADPGK,['Chromosome 15']
379,ADPRH,['Chromosome 3']
380,ADPRHL1,['Chromosome 13']
381,ADPRHL2,['Chromosome 1']
382,ADPRM,['Chromosome 17']
383,ADRA1A,['Chromosome 8']
384,ADRA1B,['Chromosome 5']
385,ADRA1D,['Chromosome 20']
386,ADRA2A,['Chromosome 10']
387,ADRA2B,['Chromosome 2']
388,ADRA2C,['Chromosome 4']
389,ADRB1,['Chromosome 10']
390,ADRB2,['Chromosome 5']
391,ADRB3,['Chromosome 8']
392,ADRM1,['Chromosome 20']
393,ADSL,['Chromosome 22']
394,ADSS,['Chromosome 1']
395,ADSSL1,['Chromosome 14']
396,ADTRP,['Chromosome 6']
397,AEBP1,['Chromosome 7']
398,AEBP2,['Chromosome 12']
399,AEN,['Chromosome 15']
400,AES,['Chromosome 19']
401,AFAP1,['Chromosome 4']
402,AFAP1L1,['Chromosome 5']
403,AFAP1L2,['Chromosome 10']
404,AFDN,['Chromosome 6']
405,AFDN-DT,['Unplaced']
406,AFF1,['Chromosome 4']
407,AFF2,['Chromosome X']
408,AFF3,['Chromosome 2']
409,AFF4,['Chromosome 5']
410,AFG1L,['Chromosome 6']
411,AFG3L2,['Chromosome 18']
412,AFM,['Chromosome 4']
413,AFMID,['Chromosome 17']
414,AFP,['Chromosome 4']
415,AFTPH,['Chromosome 2']
416,AGA,['Chromosome 4']
417,AGAP1,['Chromosome 2']
418,AGAP11,['Unplaced']
419,AGAP2,['Chromosome 12']
420,AGAP3,['Chromosome 7']
421,AGAP4,['Chromosome 10']
422,AGAP5,['Chromosome 10']
423,AGAP6,['Chromosome 10']
424,AGAP7P,['Unplaced']
425,AGAP9,['Chromosome 10']
426,AGBL1,['Chromosome 15']
427,AGBL2,['Chromosome 11']
428,AGBL3,['Chromosome 7']
429,AGBL4,['Chromosome 1']
430,AGBL5,['Chromosome 2']
431,AGER,['Chromosome 6']
432,AGFG1,['Chromosome 2']
433,AGFG2,['Chromosome 7']
434,AGGF1,['Chromosome 5']
435,AGK,['Chromosome 7']
436,AGL,['Chromosome 1']
437,AGMAT,['Chromosome 1']
438,AGMO,['Chromosome 7']
439,AGO1,['Chromosome 1']
440,AGO2,['Chromosome 8']
441,AGO3,['Chromosome 1']
442,AGO4,['Chromosome 1']
443,AGPAT1,['Chromosome 6']
444,AGPAT2,['Chromosome 9']
445,AGPAT3,['Chromosome 21']
446,AGPAT4,['Chromosome 6']
447,AGPAT4-IT1,['Unplaced']
448,AGPAT5,['Chromosome 8']
449,AGPS,['Chromosome 2']
450,AGR2,['Chromosome 7']
451,AGR3,['Chromosome 7']
452,AGRN,['Chromosome 1']
453,AGRP,['Chromosome 16']
454,AGT,['Chromosome 2']
455,AGTPBP1,['Chromosome 9']
456,AGTR1,['Chromosome 3']
457,AGTR2,['Chromosome X']
458,AGTRAP,['Chromosome 1']
459,AGXT,['Chromosome 2']
460,AGXT2,['Chromosome 5']
461,AHCTF1,['Chromosome 1']
462,AHCY,['Chromosome 20']
463,AHCYL1,['Chromosome 1']
464,AHCYL2,['Chromosome 7']
465,AHDC1,['Chromosome 1']
466,AHI1,['Chromosome 6']
467,AHNAK,['Chromosome 11']
468,AHNAK2,['Chromosome 14']
469,AHR,['Chromosome 7']
470,AHRR,['Chromosome 5']
471,AHSA1,['Chromosome 14']
472,AHSA2P,['Unplaced']
473,AHSG,['Chromosome 3']
474,AHSP,['Chromosome 16']
475,AICDA,['Chromosome 12']
476,AIDA,['Chromosome 12']
477,AIF1,['Chromosome 6']
478,AIF1L,['Chromosome 9']
479,AIFM1,['Chromosome X']
480,AIFM2,['Chromosome 10']
481,AIFM3,['Chromosome 22']
482,AIG1,['Chromosome 6']
483,AIM2,['Chromosome 1']
484,AIMP1,['Chromosome 4']
485,AIMP2,['Chromosome 7']
486,AIP,['Chromosome 9']
487,AIPL1,['Chromosome 17']
488,AIRE,['Chromosome 21']
489,AJAP1,['Chromosome 1']
490,AJM1,['Chromosome 9']
491,AJUBA,['Chromosome 14']
492,AK1,['Chromosome 9']
493,AK2,['Chromosome 1']
494,AK3,['Chromosome 9']
495,AK4,['Chromosome 1']
496,AK5,['Chromosome 1']
497,AK6,['Chromosome 5']
498,AK7,['Chromosome 14']
499,AK8,['Chromosome 9']
500,AK9,['Chromosome 6']
501,AKAIN1,['Chromosome 18']
502,AKAP1,['Chromosome 17']
503,AKAP10,['Chromosome 17']
504,AKAP11,['Chromosome 13']
505,AKAP12,['Chromosome 6']
506,AKAP13,['Chromosome 15']
507,AKAP14,['Chromosome X']
508,AKAP17A,['Chromosome X']
509,AKAP2,['Chromosome 17']
510,AKAP3,['Chromosome 12']
511,AKAP4,['Chromosome X']
512,AKAP5,['Chromosome 14']
513,AKAP6,['Chromosome 14']
514,AKAP7,['Chromosome 6']
515,AKAP8,['Chromosome 19']
516,AKAP8L,['Chromosome 19']
517,AKAP9,['Chromosome 7']
518,AKIP1,['Chromosome 11']
519,AKIRIN1,['Chromosome 1']
520,AKIRIN2,['Chromosome 6']
521,AKNA,['Chromosome 9']
522,AKNAD1,['Chromosome 1']
523,AKR1A1,['Chromosome 1']
524,AKR1B1,['Chromosome 7']
525,AKR1B10,['Chromosome 7']
526,AKR1B15,['Chromosome 7']
527,AKR1C1,['Chromosome 10']
528,AKR1C2,['Chromosome 10']
529,AKR1C3,['Chromosome 10']
530,AKR1C4,['Chromosome 10']
531,AKR1C8P,['Chromosome 10']
532,AKR1D1,['Chromosome 7']
533,AKR1E2,['Chromosome 10']
534,AKR7A2,['Chromosome 1']
535,AKR7A3,['Chromosome 1']
536,AKR7L,['Chromosome 1']
537,AKT1,['Chromosome 19']
538,AKT1S1,['Chromosome 19']
539,AKT2,['Chromosome 19']
540,AKT3,['Chromosome 1']
541,AKTIP,['Chromosome 16']
542,ALAD,['Chromosome 9']
543,ALAS1,['Chromosome 3']
544,ALAS2,['Chromosome X']
545,ALB,['Chromosome 4']
546,ALCAM,['Chromosome 3']
547,ALDH16A1,['Chromosome 19']
548,ALDH18A1,['Chromosome 10']
549,ALDH1A1,['Chromosome 9']
550,ALDH1A2,['Chromosome 15']
551,ALDH1A3,['Chromosome 15']
552,ALDH1B1,['Chromosome 9']
553,ALDH1L1,['Chromosome 3']
554,ALDH1L2,['Chromosome 12']
555,ALDH2,['Chromosome 12']
556,ALDH3A1,['Chromosome 17']
557,ALDH3A2,['Chromosome 17']
558,ALDH3B1,['Chromosome 11']
559,ALDH3B2,['Chromosome 11']
560,ALDH4A1,['Chromosome 1']
561,ALDH5A1,['Chromosome 6']
562,ALDH6A1,['Chromosome 14']
563,ALDH7A1,['Chromosome 5']
564,ALDH8A1,['Chromosome 6']
565,ALDH9A1,['Chromosome 1']
566,ALDOA,['Chromosome 16']
567,ALDOB,['Chromosome 9']
568,ALDOC,['Chromosome 17']
569,ALG1,['Chromosome 16']
570,ALG10,['Chromosome 12']
571,ALG10B,['Chromosome 12']
572,ALG11,['Chromosome 13']
573,ALG12,['Chromosome 22']
574,ALG13,['Chromosome X']
575,ALG14,['Chromosome 1']
576,ALG1L,['Chromosome 3']
577,ALG1L2,['Chromosome 3']
578,ALG2,['Chromosome 9']
579,ALG3,['Chromosome 3']
580,ALG5,['Chromosome 13']
581,ALG6,['Chromosome 1']
582,ALG8,['Chromosome 11']
583,ALG9,['Chromosome 11']
584,ALK,['Chromosome 2']
585,ALKAL1,['Chromosome 8']
586,ALKAL2,['Chromosome 2']
587,ALKBH1,['Chromosome 14']
588,ALKBH2,['Chromosome 12']
589,ALKBH3,['Chromosome 11']
590,ALKBH4,['Chromosome 7']
591,ALKBH5,['Chromosome 17']
592,ALKBH6,['Chromosome 19']
593,ALKBH7,['Chromosome 19']
594,ALKBH8,['Chromosome 11']
595,ALLC,['Chromosome 2']
596,ALMS1,['Chromosome 2']
597,ALOX12,['Chromosome 17']
598,ALOX12B,['Chromosome 17']
599,ALOX15,['Chromosome 17']
600,ALOX15B,['Chromosome 17']
601,ALOX5,['Chromosome 10']
602,ALOX5AP,['Chromosome 13']
603,ALOXE3,['Chromosome 17']
604,ALPG,['Chromosome 2']
605,ALPI,['Chromosome 2']
606,ALPK1,['Chromosome 4']
607,ALPK2,['Chromosome 18']
608,ALPK3,['Chromosome 15']
609,ALPL,['Chromosome 1']
610,ALPP,['Chromosome 2']
611,ALS2,['Unplaced']
612,ALS2CL,['Chromosome 3']
613,ALS2CR12,['Chromosome 2']
614,ALX1,['Chromosome 12']
615,ALX3,['Chromosome 1']
616,ALX4,['Chromosome 11']
617,ALYREF,['Unplaced']
618,AMACR,['Chromosome 5']
619,AMBN,['Chromosome 4']
620,AMBP,['Chromosome 9']
621,AMBRA1,['Chromosome 11']
622,AMD1,['Chromosome 6']
623,AMDHD1,['Chromosome 12']
624,AMDHD2,['Chromosome 16']
625,AMELX,['Chromosome X']
626,AMELY,['Chromosome Y']
627,AMER1,['Chromosome X']
628,AMER2,['Chromosome 13']
629,AMER3,['Chromosome 2']
630,AMFR,['Unplaced']
631,AMH,['Chromosome 19']
632,AMHR2,['Chromosome 12']
633,AMIGO1,['Chromosome 1']
634,AMIGO2,['Chromosome 12']
635,AMIGO3,['Chromosome 3']
636,AMMECR1,['Chromosome X']
637,AMMECR1L,['Chromosome 2']
638,AMN,['Chromosome 14']
639,AMN1,['Chromosome 12']
640,AMOT,['Chromosome X']
641,AMOTL1,['Chromosome 11']
642,AMOTL2,['Chromosome 3']
643,AMPD1,['Chromosome 1']
644,AMPD2,['Chromosome 1']
645,AMPD3,['Chromosome 11']
646,AMPH,['Chromosome 7']
647,AMT,['Chromosome 3']
648,AMTN,['Chromosome 4']
649,AMY1A,['Chromosome 1']
650,AMY1B,['Chromosome 1']
651,AMY1C,['Chromosome 1']
652,AMY2A,['Chromosome 1']
653,AMY2B,['Chromosome 1']
654,AMZ1,['Chromosome 7']
655,AMZ2,['Chromosome 17']
656,ANAPC1,['Chromosome 2']
657,ANAPC10,['Chromosome 4']
658,ANAPC11,['Chromosome 17']
659,ANAPC13,['Chromosome 3']
660,ANAPC15,['Chromosome 11']
661,ANAPC16,['Chromosome 10']
662,ANAPC2,['Chromosome 9']
663,ANAPC4,['Chromosome 4']
664,ANAPC5,['Chromosome 12']
665,ANAPC7,['Chromosome 12']
666,ANG,['Chromosome 1']
667,ANGEL1,['Chromosome 14']
668,ANGEL2,['Chromosome 1']
669,ANGPT1,['Chromosome 8']
670,ANGPT2,['Chromosome 8']
671,ANGPT4,['Chromosome 20']
672,ANGPTL1,['Chromosome 1']
673,ANGPTL2,['Chromosome 9']
674,ANGPTL3,['Chromosome 1']
675,ANGPTL4,['Chromosome 19']
676,ANGPTL5,['Chromosome 11']
677,ANGPTL6,['Chromosome 19']
678,ANGPTL7,['Chromosome 1']
679,ANGPTL8,['Chromosome 19']
680,ANHX,['Chromosome 12']
681,ANK1,['Chromosome 8']
682,ANK2,['Chromosome 4']
683,ANK3,['Chromosome 10']
684,ANKAR,['Chromosome 2']
685,ANKDD1A,['Chromosome 15']
686,ANKDD1B,['Chromosome 5']
687,ANKEF1,['Chromosome 20']
688,ANKFN1,['Chromosome 17']
689,ANKFY1,['Chromosome 17']
690,ANKH,['Chromosome 5']
691,ANKHD1,['Chromosome 5']
692,ANKIB1,['Chromosome 7']
693,ANKK1,['Chromosome 11']
694,ANKLE1,['Chromosome 19']
695,ANKLE2,['Chromosome 12']
696,ANKMY1,['Chromosome 2']
697,ANKMY2,['Unplaced']
698,ANKRA2,['Chromosome 5']
699,ANKRD1,['Chromosome 10']
700,ANKRD10,['Chromosome 17']
701,ANKRD11,['Chromosome 16']
702,ANKRD12,['Chromosome 18']
703,ANKRD13A,['Chromosome 12']
704,ANKRD13B,['Chromosome 17']
705,ANKRD13C,['Chromosome 1']
706,ANKRD13D,['Chromosome 11']
707,ANKRD16,['Chromosome 10']
708,ANKRD17,['Chromosome 4']
709,ANKRD18A,['Chromosome 9']
710,ANKRD18B,['Chromosome 9']
711,ANKRD19P,['Unplaced']
712,ANKRD2,['Chromosome 10']
713,ANKRD20A1,['Chromosome 9']
714,ANKRD20A12P,['Unplaced']
715,ANKRD20A2,['Chromosome 9']
716,ANKRD20A3,['Chromosome 9']
717,ANKRD20A4,['Chromosome 9']
718,ANKRD20A5P,['Unplaced']
719,ANKRD20A8P,['Unplaced']
720,ANKRD22,['Chromosome 10']
721,ANKRD23,['Chromosome 2']
722,ANKRD24,['Chromosome 19']
723,ANKRD26,['Chromosome 10']
724,ANKRD26P1,['Chromosome X']
725,ANKRD27,['Chromosome 19']
726,ANKRD28,['Chromosome 3']
727,ANKRD29,['Chromosome 18']
728,ANKRD30A,['Chromosome 10']
729,ANKRD30B,['Chromosome 18']
730,ANKRD30BL,['Chromosome 2']
731,ANKRD31,['Chromosome 5']
732,ANKRD33,['Chromosome 12']
733,ANKRD33B,['Chromosome 5']
734,ANKRD34A,['Chromosome 1']
735,ANKRD34B,['Chromosome 5']
736,ANKRD34C,['Chromosome 15']
737,ANKRD35,['Chromosome 1']
738,ANKRD36,['Unplaced']
739,ANKRD36B,['Chromosome 2']
740,ANKRD36BP1,['Unplaced']
741,ANKRD36C,['Chromosome 2']
742,ANKRD37,['Chromosome 4']
743,ANKRD39,['Chromosome 2']
744,ANKRD40,['Chromosome 17']
745,ANKRD40CL,['Chromosome 17']
746,ANKRD42,['Chromosome 11']
747,ANKRD44,['Chromosome 2']
748,ANKRD45,['Chromosome 1']
749,ANKRD46,['Chromosome 8']
750,ANKRD49,['Chromosome 11']
751,ANKRD50,['Chromosome 4']
752,ANKRD52,['Chromosome 12']
753,ANKRD53,['Chromosome 2']
754,ANKRD54,['Chromosome 22']
755,ANKRD55,['Chromosome 5']
756,ANKRD6,['Chromosome 6']
757,ANKRD60,['Chromosome 20']
758,ANKRD61,['Chromosome 7']
759,ANKRD62,['Chromosome 18']
760,ANKRD63,['Chromosome 15']
761,ANKRD65,['Chromosome 1']
762,ANKRD66,['Chromosome 6']
763,ANKRD7,['Chromosome 7']
764,ANKRD9,['Chromosome 14']
765,ANKS1A,['Chromosome 6']
766,ANKS1B,['Chromosome 12']
767,ANKS3,['Chromosome 16']
